#
# (C) Copyright IBM Corporation 2011, 2016
#
# Example of trace output for avgtemp.tcl

PWR1MS_rcnt,TEMPAVG32MSP0C0_value,TEMPAVG32MSP0C1_value,TEMPAVG32MSP0C2_value,TEMPAVG32MSP0C3_value,TEMPAVG32MSP0C4_value,TEMPAVG32MSP0C5_value,TEMPAVG32MSP0C6_value,TEMPAVG32MSP0C7_value,TEMPAVG32MSP0_value,oca_counter
1528915,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,60
1528947,0.0,40.2,40.6,41.0,0.0,40.0,39.0,40.0,40.1,61
1528979,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,62
1529011,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,63
1529043,0.0,40.0,40.8,41.0,0.0,39.8,39.2,39.8,40.1,64
1529075,0.0,40.2,40.8,41.0,0.0,40.0,39.0,39.8,40.1,65
1529107,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,66
1529139,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,67
1529171,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,68
1529203,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,69
1529235,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,70
1529267,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,71
1529299,0.0,40.2,40.8,41.0,0.0,39.8,38.8,39.8,40.0,72
1529331,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,73
1529363,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,74
1529395,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,75
1529427,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,76
1529459,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,77
1529491,0.0,40.2,40.8,41.0,0.0,39.8,38.8,39.8,40.0,78
1529523,0.0,40.2,40.8,41.0,0.0,40.0,38.6,39.8,40.0,79
1529555,0.0,40.2,40.8,41.0,0.0,39.8,39.2,39.8,40.1,80
1529587,0.0,40.2,40.8,41.0,0.0,40.0,38.6,39.8,40.0,81
1529619,0.0,40.0,40.8,41.0,0.0,40.0,38.8,39.8,40.0,82
1529651,0.0,40.2,40.8,41.0,0.0,40.0,39.0,39.8,40.1,83
1529683,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,84
1529715,0.0,40.2,40.8,41.0,0.0,40.0,39.0,39.8,40.1,85
1529747,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,86
1529779,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,87
1529811,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,88
1529843,0.0,40.2,40.8,41.0,0.0,39.8,38.8,40.0,40.1,89
1529875,0.0,40.2,40.8,41.0,0.0,39.8,38.8,39.8,40.0,90
1529907,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,91
1529939,0.0,40.0,40.8,41.0,0.0,40.0,39.2,39.8,40.1,92
1529971,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,93
1530003,0.0,39.6,40.8,41.0,0.0,40.0,39.0,39.8,40.0,94
1530035,0.0,40.0,40.8,41.0,0.0,40.0,39.2,39.8,40.1,95
1530067,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,96
1530099,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,97
1530131,0.0,40.2,40.8,41.0,0.0,40.0,38.6,39.8,40.0,98
1530163,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,99
